[2025-06-26 09:13:01] 📊 CPU: 2.8% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20792444.0 KB ↓ 467328.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:12:49] 📊 CPU: 4.4% | RAM: 65.6% | SWAP: 0.0% | Disk I/O: 0.24 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41583856.0 KB ↓ 934640.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:12:37] 📊 CPU: 4.5% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.94 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20791568.0 KB ↓ 467320.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:12:25] 📊 CPU: 2.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20790704.0 KB ↓ 467320.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:12:13] 📊 CPU: 4.0% | RAM: 65.6% | SWAP: 0.0% | Disk I/O: 0.62 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20790516.0 KB ↓ 467320.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:12:01] 📊 CPU: 3.6% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20789872.0 KB ↓ 467316.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:11:49] 📊 CPU: 4.6% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.16 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20789388.0 KB ↓ 467316.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:11:37] 📊 CPU: 4.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20788464.0 KB ↓ 467308.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:11:25] 📊 CPU: 4.1% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 5.16 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41575232.0 KB ↓ 932408.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:11:13] 📊 CPU: 3.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20786892.0 KB ↓ 439292.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:11:01] 📊 CPU: 3.5% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41572576.0 KB ↓ 878584.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:10:49] 📊 CPU: 3.6% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.64 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20785944.0 KB ↓ 439292.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:10:37] 📊 CPU: 3.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20785772.0 KB ↓ 439136.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:10:25] 📊 CPU: 3.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20785220.0 KB ↓ 439132.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:10:13] 📊 CPU: 4.6% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 3.93 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20784856.0 KB ↓ 431220.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:10:01] 📊 CPU: 3.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 1 conns | ↑ 41567640.0 KB ↓ 819344.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:09:49] 📊 CPU: 3.8% | RAM: 65.6% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20783396.0 KB ↓ 409672.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:09:37] 📊 CPU: 3.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.24 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20781784.0 KB ↓ 409668.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:09:25] 📊 CPU: 3.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.18 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20781640.0 KB ↓ 409668.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:09:13] 📊 CPU: 2.8% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.27 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20781604.0 KB ↓ 409668.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
